Resource,Zone,LDS,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA,Can_Retire
ERC_REST_small_hydroelectric_1,1,0,0,9.552,0.0,0,0.0,46475.0,0.0,8.778,None,0.597,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,ERC_REST,1,0.0,0.0,1,0
MIS_AR_small_hydroelectric_1,16,0,0,21.138,0.0,0,0.0,46475.0,0.0,8.773,None,3.523,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_AR,1,0.0,0.0,1,0
MIS_D_MS_small_hydroelectric_1,17,0,0,0.0,0.0,0,0.0,46475.0,0.0,8.773,None,0.0,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_D_MS,1,0.0,0.0,1,0
MIS_IA_small_hydroelectric_1,8,0,0,1.792,0.0,0,0.0,46475.0,0.0,8.773,None,0.448,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_IA,1,0.0,0.0,1,0
MIS_IL_small_hydroelectric_1,6,0,0,2.403,0.0,0,0.0,46475.0,0.0,8.773,None,0.801,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_IL,1,0.0,0.0,1,0
MIS_INKY_small_hydroelectric_1,7,0,0,3.766,0.0,0,0.0,46475.0,0.0,8.773,None,0.538,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_INKY,1,0.0,0.0,1,0
MIS_LMI_small_hydroelectric_1,10,0,0,49.14,0.0,0,0.0,46475.0,0.0,8.773,None,0.945,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_LMI,1,0.0,0.0,1,0
MIS_MAPP_small_hydroelectric_1,5,0,0,0.0,0.0,0,0.0,46475.0,0.0,8.773,None,0.0,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_MAPP,1,0.0,0.0,1,0
MIS_MIDA_small_hydroelectric_1,9,0,0,0.0,0.0,0,0.0,46475.0,0.0,8.773,None,0.0,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_MIDA,1,0.0,0.0,1,0
MIS_MNWI_small_hydroelectric_1,13,0,0,193.884,0.0,0,0.0,46475.0,0.0,8.773,None,1.284,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_MNWI,1,0.0,0.0,1,0
MIS_WOTA_small_hydroelectric_1,14,0,0,3.045,0.0,0,0.0,46475.0,0.0,8.773,None,0.609,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_WOTA,1,0.0,0.0,1,0
MIS_WUMS_small_hydroelectric_1,12,0,0,264.41,0.0,0,0.0,46475.0,0.0,8.773,None,0.965,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,MIS_WUMS,1,0.0,0.0,1,0
NENGREST_small_hydroelectric_1,20,0,0,169.92,0.0,0,0.0,46475.0,0.0,8.773,None,0.72,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NENGREST,1,0.0,0.0,1,0
NENG_CT_small_hydroelectric_1,19,0,0,24.696,0.0,0,0.0,46475.0,0.0,8.773,None,0.686,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NENG_CT,1,0.0,0.0,1,0
NENG_ME_small_hydroelectric_1,21,0,0,162.274,0.0,0,0.0,46475.0,0.0,8.773,None,0.938,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NENG_ME,1,0.0,0.0,1,0
NY_Z_A_small_hydroelectric_1,27,0,0,0.642,0.0,0,0.0,46475.0,0.0,8.773,None,0.642,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_A,1,0.0,0.0,1,0
NY_Z_B_small_hydroelectric_1,28,0,0,2.24,0.0,0,0.0,46475.0,0.0,8.773,None,0.28,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_B,1,0.0,0.0,1,0
NY_Z_C&E_small_hydroelectric_1,22,0,0,190.855,0.0,0,0.0,46475.0,0.0,8.773,None,0.931,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_C&E,1,0.0,0.0,1,0
NY_Z_D_small_hydroelectric_1,29,0,0,22.225,0.0,0,0.0,46475.0,0.0,8.773,None,0.635,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_D,1,0.0,0.0,1,0
NY_Z_F_small_hydroelectric_1,23,0,0,79.86,0.0,0,0.0,46475.0,0.0,8.773,None,1.21,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_F,1,0.0,0.0,1,0
NY_Z_G-I_small_hydroelectric_1,24,0,0,31.536,0.0,0,0.0,46475.0,0.0,8.773,None,1.314,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,NY_Z_G-I,1,0.0,0.0,1,0
PJM_AP_small_hydroelectric_1,34,0,0,114.38,0.0,0,0.0,46475.0,0.0,8.773,None,3.01,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_AP,1,0.0,0.0,1,0
PJM_ATSI_small_hydroelectric_1,36,0,0,5.769,0.0,0,0.0,46475.0,0.0,8.773,None,0.641,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_ATSI,1,0.0,0.0,1,0
PJM_COMD_small_hydroelectric_1,35,0,0,14.982,0.0,0,0.0,46475.0,0.0,8.773,None,0.681,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_COMD,1,0.0,0.0,1,0
PJM_Dom_small_hydroelectric_1,37,0,0,9.12,0.0,0,0.0,46475.0,0.0,8.773,None,0.608,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_Dom,1,0.0,0.0,1,0
PJM_EMAC_small_hydroelectric_1,31,0,0,1.749,0.0,0,0.0,46475.0,0.0,8.773,None,0.583,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_EMAC,1,0.0,0.0,1,0
PJM_PENE_small_hydroelectric_1,38,0,0,48.678,0.0,0,0.0,46475.0,0.0,8.773,None,2.562,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_PENE,1,0.0,0.0,1,0
PJM_WMAC_small_hydroelectric_1,30,0,0,12.399,0.0,0,0.0,46475.0,0.0,8.773,None,12.399,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_WMAC,1,0.0,0.0,1,0
PJM_West_small_hydroelectric_1,33,0,0,95.348,0.0,0,0.0,46475.0,0.0,8.773,None,0.788,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,PJM_West,1,0.0,0.0,1,0
SPP_N_small_hydroelectric_1,45,0,0,7.035,0.0,0,0.0,46475.0,0.0,8.773,None,0.469,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,SPP_N,1,0.0,0.0,1,0
SPP_NEBR_small_hydroelectric_1,44,0,0,53.417,0.0,0,0.0,46475.0,0.0,8.773,None,4.109,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,SPP_NEBR,1,0.0,0.0,1,0
SPP_WEST_small_hydroelectric_1,46,0,0,36.542,0.0,0,0.0,46475.0,0.0,8.773,None,3.322,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,SPP_WEST,1,0.0,0.0,1,0
S_C_KY_small_hydroelectric_1,40,0,0,6.21,0.0,0,0.0,46475.0,0.0,8.773,None,0.27,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,S_C_KY,1,0.0,0.0,1,0
S_C_TVA_small_hydroelectric_1,42,0,0,99.44,0.0,0,0.0,46475.0,0.0,8.773,None,4.972,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,S_C_TVA,1,0.0,0.0,1,0
S_D_AECI_small_hydroelectric_1,41,0,0,3.51,0.0,0,0.0,46475.0,0.0,8.773,None,1.17,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,S_D_AECI,1,0.0,0.0,1,0
S_SOU_small_hydroelectric_1,43,0,0,50.265,0.0,0,0.0,46475.0,0.0,8.773,None,1.117,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,S_SOU,1,0.0,0.0,1,0
S_VACA_small_hydroelectric_1,39,0,0,119.137,0.0,0,0.0,46475.0,0.0,7.916,None,1.093,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,S_VACA,1,0.0,0.0,1,0
WECC_AZ_small_hydroelectric_1,62,0,0,24.642,0.0,0,0.0,46475.0,0.0,9.017,None,2.738,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_AZ,1,0.0,0.0,1,0
WECC_CO_small_hydroelectric_1,60,0,0,60.027,0.0,0,0.0,46475.0,0.0,8.773,None,1.177,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_CO,1,0.0,0.0,1,0
WECC_ID_small_hydroelectric_1,55,0,0,179.112,0.0,0,0.0,46475.0,0.0,8.773,None,1.756,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_ID,1,0.0,0.0,1,0
WECC_IID_small_hydroelectric_1,64,0,0,24.816,0.0,0,0.0,46475.0,0.0,8.773,None,1.551,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_IID,1,0.0,0.0,1,0
WECC_MT_small_hydroelectric_1,53,0,0,67.15,0.0,0,0.0,46475.0,0.0,8.773,None,2.686,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_MT,1,0.0,0.0,1,0
WECC_NM_small_hydroelectric_1,63,0,0,23.076,0.0,0,0.0,46475.0,0.0,8.773,None,2.564,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_NM,1,0.0,0.0,1,0
WECC_NNV_small_hydroelectric_1,56,0,0,6.408,0.0,0,0.0,46475.0,0.0,8.773,None,0.801,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_NNV,1,0.0,0.0,1,0
WECC_PNW_small_hydroelectric_1,59,0,0,374.48,0.0,0,0.0,46475.0,0.0,8.773,None,2.416,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_PNW,1,0.0,0.0,1,0
WECC_SCE_small_hydroelectric_1,52,0,0,75.993,0.0,0,0.0,46475.0,0.0,8.773,None,1.041,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_SCE,1,0.0,0.0,1,0
WECC_UT_small_hydroelectric_1,58,0,0,35.037,0.0,0,0.0,46475.0,0.0,8.774,None,0.687,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_UT,1,0.0,0.0,1,0
WECC_WY_small_hydroelectric_1,61,0,0,35.76,0.0,0,0.0,46475.0,0.0,8.773,None,1.788,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WECC_WY,1,0.0,0.0,1,0
WEC_BANC_small_hydroelectric_1,54,0,0,2.466,0.0,0,0.0,46475.0,0.0,8.773,None,1.233,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WEC_BANC,1,0.0,0.0,1,0
WEC_CALN_small_hydroelectric_1,49,0,0,182.664,0.0,0,0.0,46475.0,0.0,8.719,None,1.416,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WEC_CALN,1,0.0,0.0,1,0
WEC_LADW_small_hydroelectric_1,50,0,0,7.684,0.0,0,0.0,46475.0,0.0,8.919,None,0.452,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WEC_LADW,1,0.0,0.0,1,0
WEC_SDGE_small_hydroelectric_1,51,0,0,0.574,0.0,0,0.0,46475.0,0.0,8.773,None,0.082,0.0,0.0,0.0,0.0,0,0,Small Hydroelectric,WEC_SDGE,1,0.0,0.0,1,0
