Resource,Zone,Model,LDS,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA,Can_Retire
MIS_LMI_hydroelectric_pumped_storage_1,10,1,0,0,2047.002,31728.531,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,341.167,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,MIS_LMI,1,0.0,0.0,0,0
MIS_MO_hydroelectric_pumped_storage_1,11,1,0,0,440.0,6820.0,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,220.0,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,MIS_MO,1,0.0,0.0,0,0
NENGREST_hydroelectric_pumped_storage_1,20,1,0,0,1768.002,27404.031,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,294.667,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,NENGREST,1,0.0,0.0,0,0
NENG_CT_hydroelectric_pumped_storage_1,19,1,0,0,29.001,449.516,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,9.667,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,NENG_CT,1,0.0,0.0,0,0
NY_Z_A_hydroelectric_pumped_storage_1,27,1,0,0,240.0,3720.0,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,20.0,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,NY_Z_A,1,0.0,0.0,0,0
NY_Z_F_hydroelectric_pumped_storage_1,23,1,0,0,1165.1,18059.05,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,291.275,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,NY_Z_F,1,0.0,0.0,0,0
PJM_Dom_hydroelectric_pumped_storage_1,37,1,0,0,3003.0,46546.5,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,500.5,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,PJM_Dom,1,0.0,0.0,0,0
PJM_EMAC_hydroelectric_pumped_storage_1,31,1,0,0,1490.005,23095.078,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,135.455,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,PJM_EMAC,1,0.0,0.0,0,0
PJM_PENE_hydroelectric_pumped_storage_1,38,1,0,0,482.001,7471.015,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,160.667,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,PJM_PENE,1,0.0,0.0,0,0
PJM_West_hydroelectric_pumped_storage_1,33,1,0,0,237.999,3688.984,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,79.333,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,PJM_West,1,0.0,0.0,0,0
SPP_WEST_hydroelectric_pumped_storage_1,46,1,0,0,474.006,7347.093,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,36.462,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,SPP_WEST,1,0.0,0.0,0,0
S_C_TVA_hydroelectric_pumped_storage_1,42,1,0,0,1683.8,26098.9,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,336.76,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,S_C_TVA,1,0.0,0.0,0,0
S_D_AECI_hydroelectric_pumped_storage_1,41,1,0,0,31.0,480.5,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,31.0,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,S_D_AECI,1,0.0,0.0,0,0
S_SOU_hydroelectric_pumped_storage_1,43,1,0,0,1896.206,29391.193,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,145.862,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,S_SOU,1,0.0,0.0,0,0
S_VACA_hydroelectric_pumped_storage_1,39,1,0,0,2796.0,43338.0,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,174.75,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,S_VACA,1,0.0,0.0,0,0
WECC_AZ_hydroelectric_pumped_storage_1,62,1,0,0,216.3,3352.65,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,36.05,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WECC_AZ,1,0.0,0.0,0,0
WECC_CO_hydroelectric_pumped_storage_1,60,1,0,0,580.8,9002.4,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,116.16,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WECC_CO,1,0.0,0.0,0,0
WECC_PNW_hydroelectric_pumped_storage_1,59,1,0,0,313.998,4866.969,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,52.333,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WECC_PNW,1,0.0,0.0,0,0
WEC_CALN_hydroelectric_pumped_storage_1,49,1,0,0,2276.904,35292.012,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,1.634,None,94.871,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WEC_CALN,1,0.0,0.0,0,0
WEC_LADW_hydroelectric_pumped_storage_1,50,1,0,0,1623.0,25156.5,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,270.5,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WEC_LADW,1,0.0,0.0,0,0
WEC_SDGE_hydroelectric_pumped_storage_1,51,1,0,0,42.0,651.0,0,0.0,-1,-1,0,0,0,0.0,0.0,0,40113.0,0.0,0,0.0,0.0,0.0,None,21.0,0.0,0.0,0,0.866,0.866,0,200,0.0,0.0,0,0,Hydroelectric Pumped Storage,WEC_SDGE,1,0.0,0.0,0,0
ERC_REST_battery_moderate_0,1,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17257.91339,10515.67011,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,ERC_REST,0,0.0,0.0,0,1
ERC_WEST_battery_moderate_0,2,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17257.91339,10515.67011,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,ERC_WEST,0,0.0,0.0,0,1
ERC_PHDL_battery_moderate_0,3,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17257.91339,10515.67011,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,ERC_PHDL,0,0.0,0.0,0,1
FRCC_battery_moderate_0,4,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17275.1713,10526.18578,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,FRCC,0,0.0,0.0,0,1
MIS_MAPP_battery_moderate_0,5,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17068.07634,10399.99774,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_MAPP,0,0.0,0.0,0,1
MIS_IL_battery_moderate_0,6,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17861.94036,10883.71856,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_IL,0,0.0,0.0,0,1
MIS_INKY_battery_moderate_0,7,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17861.94036,10883.71856,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_INKY,0,0.0,0.0,0,1
MIS_IA_battery_moderate_0,8,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17016.3026,10368.45073,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_IA,0,0.0,0.0,0,1
MIS_MIDA_battery_moderate_0,9,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17068.07634,10399.99774,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_MIDA,0,0.0,0.0,0,1
MIS_LMI_battery_moderate_0,10,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17292.42922,10536.70145,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_LMI,0,0.0,0.0,0,1
MIS_MO_battery_moderate_0,11,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17861.94036,10883.71856,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_MO,0,0.0,0.0,0,1
MIS_WUMS_battery_moderate_0,12,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17016.3026,10368.45073,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_WUMS,0,0.0,0.0,0,1
MIS_MNWI_battery_moderate_0,13,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17016.3026,10368.45073,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_MNWI,0,0.0,0.0,0,1
MIS_WOTA_battery_moderate_0,14,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17654.8454,10757.53052,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_WOTA,0,0.0,0.0,0,1
MIS_AMSO_battery_moderate_0,15,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17654.8454,10757.53052,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_AMSO,0,0.0,0.0,0,1
MIS_AR_battery_moderate_0,16,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17654.8454,10757.53052,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_AR,0,0.0,0.0,0,1
MIS_D_MS_battery_moderate_0,17,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17654.8454,10757.53052,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_D_MS,0,0.0,0.0,0,1
MIS_LA_battery_moderate_0,18,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17654.8454,10757.53052,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,MIS_LA,0,0.0,0.0,0,1
NENG_CT_battery_moderate_0,19,1,0,1,0.0,0.0,0,-1.0,-1,-1,0,0,0,17775.65079,10831.14021,0,4633.55,2823.34,0,0.0,0.15,0.0,None,1.0,0.0,0.0,0,0.92,0.92,1,10,0.0,0.0,0,0,Battery_*_Moderate,NENG_CT,0,0.0,0.0,0,1
