Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,num_units,capacity_factor,unmodified_cap_size,Commit,variable_CF,min_cap_mw,max_cap_mw,inv_cost_per_mwyr,var_om_cost_per_mwh
p1_biomass_1,1,0,0,2.7,p1,Biomass,1,0.13,0.1,11.56,0,0,0.824,21,0.272,0.471,1,0,0,0,0,0
p1_small_hydroelectric_1,1,0,0,65.5,p1,Small Hydroelectric,1,2.52,0.462,8.77,47048,0,0,26,0.375,6.723,0,0.428842992,0,0,0,0
p10_biomass_1,2,0,0,107.4,p10,Biomass,1,3.16,3.541,13.67,0,3.387,2.87,34,0.418,7.565,1,0,0,0,0,0
p10_geothermal_1,2,0,0,987.9,p10,Geothermal,1,19.37,5.32,8.77,209101,0,0.116,51,0.476,19.371,0,0,0,0,0,0
p10_small_hydroelectric_1,2,0,0,110.8,p10,Small Hydroelectric,1,1.06,0.736,8.77,47048,0,0.032,105,0.279,3.783,0,0.292808264,0,0,0,0
p11_biomass_1,3,0,0,6.6,p11,Biomass,1,0.6,1.109,13.79,0,2.536,3.779,11,0.426,1.4,1,0,0,0,0,0
p11_small_hydroelectric_1,3,0,0,1.8,p11,Small Hydroelectric,1,0.44,0.475,8.77,47048,0,0,4,0.228,1.95,0,0.350317657,0,0,0,0
p12_biomass_1,4,0,0,2.8,p12,Biomass,1,1.39,0.8,10.96,0,0,0,2,0.868,1.6,1,0,0,0,0,0
p12_geothermal_1,4,0,0,725.8,p12,Geothermal,1,14.23,5.249,8.77,209101,0,0.16,51,0.494,14.231,0,0,0,0,0,0
p12_small_hydroelectric_1,4,0,0,6.1,p12,Small Hydroelectric,1,0.76,0.238,8.77,47048,0,0,8,0.528,1.438,0,0.542920589,0,0,0,0
p13_biomass_1,5,0,0,3.4,p13,Biomass,1,1.7,3.2,18,0,0,0,2,0.471,3.6,1,0,0,0,0,0
p14_biomass_1,6,0,0,2.8,p14,Biomass,1,0.93,1.033,11.5,0,1.416,1.097,3,0.31,3,1,0,0,0,0,0
p14_small_hydroelectric_1,6,0,0,12.1,p14,Small Hydroelectric,1,1.34,0.489,8.77,47048,0,0,9,0.641,2.089,0,0.466382593,0,0,0,0
p15_biomass_1,7,0,0,7.6,p15,Biomass,1,1.08,0.914,10.67,0,2.587,1.602,7,0.591,1.829,1,0,0,0,0,0
p15_small_hydroelectric_1,7,0,0,95.2,p15,Small Hydroelectric,1,1.56,0.27,8.77,47048,0,0,61,0.434,3.597,0,0.476917177,0,0,0,0
p16_biomass_1,8,0,0,1,p16,Biomass,1,0.49,0.1,11.98,0,1.387,1.354,2,0.544,0.9,1,0,0,0,0,0
p16_geothermal_1,8,0,0,12.2,p16,Geothermal,1,12.2,0.5,8.77,209101,0,0,1,0.808,12.2,0,0,0,0,0,0
p16_small_hydroelectric_1,8,0,0,94.3,p16,Small Hydroelectric,1,2.14,1.391,8.77,47048,0,0,44,0.509,4.209,0,0.39224264,0,0,0,0
p17_biomass_1,9,0,0,1,p17,Biomass,1,1.02,0.8,9.36,0,0.075,0.087,1,0.637,1.6,1,0,0,0,0,0
p17_small_hydroelectric_1,9,0,0,9.9,p17,Small Hydroelectric,1,1.98,0.32,8.77,47048,0,0,5,0.609,3.26,0,0.419012517,0,0,0,0
p18_small_hydroelectric_1,10,0,0,51.7,p18,Small Hydroelectric,1,4.7,1.064,8.77,47048,0,0,11,0.825,5.7,0,0.541106761,0,0,0,0
p2_biomass_1,12,0,0,0,p2,Biomass,1,1,0,9.21,0,0,0,0,0.178,0,1,0,0,0,0,0
p2_small_hydroelectric_1,12,0,0,32.3,p2,Small Hydroelectric,1,1.7,1.042,8.77,47048,0,0.001,19,0.4,4.247,0,0.333904445,0,0,0,0
p21_small_hydroelectric_1,14,0,0,35.2,p21,Small Hydroelectric,1,2.2,0.112,8.77,47048,0,0,16,0.553,3.981,0,0.438366175,0,0,0,0
p24_small_hydroelectric_1,17,0,0,1.9,p24,Small Hydroelectric,1,0.97,0,8.77,47048,0,0,2,0.317,3.05,0,0.320364207,0,0,0,0
p25_biomass_1,18,0,0,7.8,p25,Biomass,1,0.98,0.762,15.52,0,3.838,4.697,8,0.736,1.325,1,0,0,0,0,0
p25_geothermal_1,18,0,0,72.8,p25,Geothermal,1,14.56,2,8.77,209101,0,0,5,0.578,14.56,0,0,0,0,0,0
p25_small_hydroelectric_1,18,0,0,28.4,p25,Small Hydroelectric,1,0.79,0.181,8.77,47048,0,0.009,36,0.415,1.9,0,0.31452325,0,0,0,0
p26_small_hydroelectric_1,19,0,0,11.2,p26,Small Hydroelectric,1,0.75,0.573,8.77,47048,0,0,15,0.354,2.12,0,0.329627335,0,0,0,0
p28_biomass_1,21,0,0,12.7,p28,Biomass,1,4.24,1.533,15.49,0,2.559,2.955,3,0.501,8.467,1,0,0,0,0,0
p28_small_hydroelectric_1,21,0,0,14.6,p28,Small Hydroelectric,1,1.62,2.244,9.01,47048,0.596,0.295,9,0.193,8.378,0,0.348109931,0,0,0,0
p29_biomass_1,22,0,0,0,p29,Biomass,1,1,0,9.21,0,0,0,1,0,0,1,0,0,0,0,0
p3_biomass_1,23,0,0,28.2,p3,Biomass,1,14.08,8,16.25,0,2.649,3.746,2,0.384,36.7,1,0,0,0,0,0
p3_small_hydroelectric_1,23,0,0,42.6,p3,Small Hydroelectric,1,2.66,0.312,8.77,47048,0,0,16,0.804,3.306,0,0.417009681,0,0,0,0
p31_biomass_1,25,0,0,3.4,p31,Biomass,1,0.84,0.4,11.72,0,0.984,0.568,4,0.625,1.35,1,0,0,0,0,0
p31_geothermal_1,25,0,0,13.8,p31,Geothermal,1,2.76,1.04,8.77,209101,0,0,5,0.38,2.76,0,0,0,0,0,0
p31_small_hydroelectric_1,25,0,0,14.8,p31,Small Hydroelectric,1,1.64,1.722,8.77,47048,0,0,9,0.178,9.189,0,0.322813958,0,0,0,0
p32_small_hydroelectric_1,26,0,0,0.3,p32,Small Hydroelectric,1,0.15,0.3,8.77,47048,0,0,2,0.098,1.5,0,0,0,0,0,0
p33_biomass_1,27,0,0,9.2,p33,Biomass,1,0.92,0.7,11.87,0,3.762,2.122,10,0.333,2.75,1,0,0,0,0,0
p33_small_hydroelectric_1,27,0,0,47.1,p33,Small Hydroelectric,1,1.81,0.435,8.77,47048,0,0,26,0.413,4.385,0,0.325262427,0,0,0,0
p34_small_hydroelectric_1,28,0,0,28.3,p34,Small Hydroelectric,1,1.29,0.777,8.77,47048,0,0.001,22,0.366,3.523,0,0.284346282,0,0,0,0
p4_small_hydroelectric_1,29,0,0,264.7,p4,Small Hydroelectric,1,88.23,3.333,8.77,47048,0,0,3,6.184,14.267,0,0.466000378,0,0,0,0
p5_biomass_1,30,0,0,20.4,p5,Biomass,1,0.57,0.753,13.89,0,1.904,2.134,36,0.365,1.556,1,0,0,0,0,0
p5_small_hydroelectric_1,30,0,0,113.2,p5,Small Hydroelectric,1,2.14,3.096,8.77,47048,0,0,53,0.416,5.138,0,0.483793646,0,0,0,0
p6_biomass_1,32,0,0,11.5,p6,Biomass,1,3.82,6.967,17.07,0,0,2.495,3,0.252,15.133,1,0,0,0,0,0
p6_small_hydroelectric_1,32,0,0,31.1,p6,Small Hydroelectric,1,2.22,0.043,8.77,47048,0,0.002,14,0.316,7.014,0,0.465725005,0,0,0,0
p7_geothermal_1,33,0,0,28.5,p7,Geothermal,1,9.5,0.5,8.77,209101,0.111,0.222,3,0.718,9.5,0,0,0,0,0,0
p7_small_hydroelectric_1,33,0,0,4.5,p7,Small Hydroelectric,1,1.51,0.733,8.77,47048,0,0,3,0.407,3.7,0,0.581064463,0,0,0,0
p8_biomass_1,34,0,0,11.5,p8,Biomass,1,11.49,16,14.71,0,2.752,3.178,1,0.383,30,1,0,0,0,0,0
p8_geothermal_1,34,0,0,1.4,p8,Geothermal,1,0.7,0.1,8.77,209101,0,0,2,0,0.7,0,0,0,0,0,0
p8_small_hydroelectric_1,34,0,0,30,p8,Small Hydroelectric,1,3.33,0.156,8.77,47048,0,0,9,0.359,9.289,0,0.419841528,0,0,0,0
p9_biomass_1,35,0,0,137.8,p9,Biomass,1,1.89,1.986,16.02,0,2.775,3.149,73,0.351,5.385,1,0,0,0,0,0
p9_geothermal_1,35,0,0,977,p9,Geothermal,1,46.52,16.286,8.77,209101,0,0.094,21,0.784,46.524,0,0,0,0,0,0
p9_small_hydroelectric_1,35,0,0,228.2,p9,Small Hydroelectric,1,1.78,0.72,8.77,47048,0,0.023,128,0.31,5.756,0,0.336027861,0,0,0,0