BA,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,ESR_17,ESR_18,ESR_19,ESR_20,ESR_21,ESR_22,ESR_23,ESR_24,ESR_25,ESR_26
WA,z10,0.130415819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,z2,0,0,0,0,0.571429838,0.571429838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,z7,0,0,0,0,0,0,0.435675577,0.435675577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,z4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,z5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,z11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,z9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,z1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086690195,0,0,0,0,0,0,0,0,0
OR,z8,0,0,0.261984944,0.54833051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,z3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197471993,0.469758563,0,0
NM,z6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454619663,0,0,0,0,0,0,0