Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.9,ID_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_1,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_2,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_3,0.0
0.0,0.8,ID_utilitypv_class1_moderate_1,0.0
0.0,0.8,ID_utilitypv_class1_moderate_2,0.0
0.0,0.8,ID_utilitypv_class1_moderate_3,0.0
0.0,0.9,ID_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,ID_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,ID_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_1,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_2,0.0
0.0,0.8,ID_landbasedwind_class3_moderate_3,0.0
0.0,0.8,ID_utilitypv_class1_moderate_1,0.0
0.0,0.8,ID_utilitypv_class1_moderate_2,0.0
0.0,0.8,ID_utilitypv_class1_moderate_3,0.0
0.0,0.9,MT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,MT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,MT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,MT_utilitypv_class1_moderate_1,0.0
0.0,0.8,MT_utilitypv_class1_moderate_2,0.0
0.0,0.8,MT_utilitypv_class1_moderate_3,0.0
0.0,0.9,MT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,MT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,MT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,MT_utilitypv_class1_moderate_1,0.0
0.0,0.8,MT_utilitypv_class1_moderate_2,0.0
0.0,0.8,MT_utilitypv_class1_moderate_3,0.0
0.0,0.9,MT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,MT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,MT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,MT_utilitypv_class1_moderate_1,0.0
0.0,0.8,MT_utilitypv_class1_moderate_2,0.0
0.0,0.8,MT_utilitypv_class1_moderate_3,0.0
0.0,0.9,WA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WA_utilitypv_class1_moderate_1,0.0
0.0,0.8,WA_utilitypv_class1_moderate_2,0.0
0.0,0.8,WA_utilitypv_class1_moderate_3,0.0
0.0,0.9,MT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,MT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,MT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,MT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,MT_utilitypv_class1_moderate_1,0.0
0.0,0.8,MT_utilitypv_class1_moderate_2,0.0
0.0,0.8,MT_utilitypv_class1_moderate_3,0.0
0.0,0.9,WY_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WY_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WY_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WY_utilitypv_class1_moderate_1,0.0
0.0,0.8,WY_utilitypv_class1_moderate_2,0.0
0.0,0.8,WY_utilitypv_class1_moderate_3,0.0
0.0,0.9,WY_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WY_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WY_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WY_utilitypv_class1_moderate_1,0.0
0.0,0.8,WY_utilitypv_class1_moderate_2,0.0
0.0,0.8,WY_utilitypv_class1_moderate_3,0.0
0.0,0.9,WY_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WY_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WY_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WY_utilitypv_class1_moderate_1,0.0
0.0,0.8,WY_utilitypv_class1_moderate_2,0.0
0.0,0.8,WY_utilitypv_class1_moderate_3,0.0
0.0,0.9,WY_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WY_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WY_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WY_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WY_utilitypv_class1_moderate_1,0.0
0.0,0.8,WY_utilitypv_class1_moderate_2,0.0
0.0,0.8,WY_utilitypv_class1_moderate_3,0.0
0.0,0.9,UT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,UT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,UT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,UT_utilitypv_class1_moderate_1,0.0
0.0,0.8,UT_utilitypv_class1_moderate_2,0.0
0.0,0.8,UT_utilitypv_class1_moderate_3,0.0
0.0,0.9,UT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,UT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,UT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,UT_utilitypv_class1_moderate_1,0.0
0.0,0.8,UT_utilitypv_class1_moderate_2,0.0
0.0,0.8,UT_utilitypv_class1_moderate_3,0.0
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.9,WA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WA_utilitypv_class1_moderate_1,0.0
0.0,0.8,WA_utilitypv_class1_moderate_2,0.0
0.0,0.8,WA_utilitypv_class1_moderate_3,0.0
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,NM_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,NM_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,NM_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,NM_landbasedwind_class3_moderate_1,0.8
0.0,0.0,NM_landbasedwind_class3_moderate_2,0.8
0.0,0.0,NM_landbasedwind_class3_moderate_3,0.8
0.0,0.0,NM_utilitypv_class1_moderate_1,0.8
0.0,0.0,NM_utilitypv_class1_moderate_2,0.8
0.0,0.0,NM_utilitypv_class1_moderate_3,0.8
0.0,0.9,CO_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,CO_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,CO_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_1,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_2,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_3,0.0
0.0,0.8,CO_utilitypv_class1_moderate_1,0.0
0.0,0.8,CO_utilitypv_class1_moderate_2,0.0
0.0,0.8,CO_utilitypv_class1_moderate_3,0.0
0.0,0.9,CO_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,CO_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,CO_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_1,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_2,0.0
0.0,0.8,CO_landbasedwind_class3_moderate_3,0.0
0.0,0.8,CO_utilitypv_class1_moderate_1,0.0
0.0,0.8,CO_utilitypv_class1_moderate_2,0.0
0.0,0.8,CO_utilitypv_class1_moderate_3,0.0
0.0,0.9,WA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WA_utilitypv_class1_moderate_1,0.0
0.0,0.8,WA_utilitypv_class1_moderate_2,0.0
0.0,0.8,WA_utilitypv_class1_moderate_3,0.0
0.0,0.9,OR_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,OR_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,OR_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_1,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_2,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_3,0.0
0.0,0.8,OR_utilitypv_class1_moderate_1,0.0
0.0,0.8,OR_utilitypv_class1_moderate_2,0.0
0.0,0.8,OR_utilitypv_class1_moderate_3,0.0
0.0,0.8,OR_offshorewind_class3_moderate_fixed_1_1,0.0
0.0,0.8,OR_offshorewind_class3_moderate_fixed_0_1,0.0
0.0,0.8,OR_offshorewind_class12_moderate_floating_0_1,0.0
0.0,0.9,OR_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,OR_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,OR_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_1,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_2,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_3,0.0
0.0,0.8,OR_utilitypv_class1_moderate_1,0.0
0.0,0.8,OR_utilitypv_class1_moderate_2,0.0
0.0,0.8,OR_utilitypv_class1_moderate_3,0.0
0.0,0.9,OR_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,OR_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,OR_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_1,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_2,0.0
0.0,0.8,OR_landbasedwind_class3_moderate_3,0.0
0.0,0.8,OR_utilitypv_class1_moderate_1,0.0
0.0,0.8,OR_utilitypv_class1_moderate_2,0.0
0.0,0.8,OR_utilitypv_class1_moderate_3,0.0
0.0,0.9,CA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,CA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,CA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,CA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,CA_landbasedwind_class3_moderate_2,0.0
0.0,0.8,CA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,CA_utilitypv_class1_moderate_1,0.0
0.0,0.8,CA_utilitypv_class1_moderate_2,0.0
0.0,0.8,CA_utilitypv_class1_moderate_3,0.0
0.9,0.0,CA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.95,0.0,CA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.9,0.0,CA_nuclear_nuclear__large_moderate_0,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_1,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_2,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_3,0.0
0.8,0.0,CA_utilitypv_class1_moderate_1,0.0
0.8,0.0,CA_utilitypv_class1_moderate_2,0.0
0.8,0.0,CA_utilitypv_class1_moderate_3,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_1_1,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_0_1,0.0
0.8,0.0,CA_offshorewind_class12_moderate_floating_0_1,0.0
