Resource,Min_Cap_1,Min_Cap_2,Min_Cap_3
CA_offshorewind_class3_moderate_fixed_1_1,1,0,0
CA_offshorewind_class3_moderate_fixed_0_1,1,0,0
CA_offshorewind_class12_moderate_floating_0_1,1,0,0
CA_offshorewind_class3_moderate_fixed_1_1,1,0,0
CA_offshorewind_class3_moderate_fixed_0_1,1,0,0
CA_offshorewind_class12_moderate_floating_0_1,1,0,0
CA_offshorewind_class3_moderate_fixed_1_1,1,0,0
CA_offshorewind_class3_moderate_fixed_0_1,1,0,0
CA_offshorewind_class12_moderate_floating_0_1,1,0,0
CA_batteries_1,0,1,0
CA_hydroelectric_pumped_storage_1,0,0,0
CA_batteries_1,0,1,0
CA_hydroelectric_pumped_storage_1,0,0,0
CA_batteries_1,0,1,0
CA_hydroelectric_pumped_storage_1,0,0,0
CA_utilityscale_battery_storage_lithium_ion_moderate_0,0,1,0
CA_utilityscale_battery_storage_lithium_ion_moderate_0,0,1,0
CA_utilityscale_battery_storage_lithium_ion_moderate_0,0,1,0
CA_utilityscale_battery_storage_lithium_ion_moderate_0,0,1,0
NV_batteries_1,0,0,1
NV_utilityscale_battery_storage_lithium_ion_moderate_0,0,0,1