Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Max_Flow_Possible_MW,Capital_Recovery_Period,WACC,DerateCapRes_1,CapRes_Excl_1,DerateCapRes_2,CapRes_Excl_2,DerateCapRes_3,CapRes_Excl_3
z1,1,1,0,0,0,0,-1,0,0,0,0,0,4682.8805,4682.8805,AZ_to_NM,45771,961715,0.0908,4683,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z2,2,1,0,0,0,0,0,-1,0,0,0,0,6453.456,6453.456,AZ_to_NV,45798,962270,0.0792,6453,1000000,60,0.044,0.95,-1,0.95,0,0.95,1
z3,3,1,0,0,0,0,0,0,0,-1,0,0,162.996,162.996,AZ_to_UT,55378,1163555,0.1045,400,1000000,60,0.044,0.95,-1,0.95,0,0.95,1
z4,4,0,1,0,0,0,0,-1,0,0,0,0,367.314,367.314,CA_to_NV,53745,1129260,0.074,400,1000000,60,0.044,0.95,-1,0.95,1,0.95,0
z5,5,0,1,0,0,0,0,0,-1,0,0,0,5260.674,5260.674,CA_to_OR,56669,1190681,0.079,5261,1000000,60,0.044,0.95,-1,0.95,1,0.95,0
z6,6,0,0,1,0,0,-1,0,0,0,0,0,1416.9605,1416.9605,CO_to_NM,30519,641251,0.0375,1417,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z7,7,0,0,1,0,0,0,0,0,-1,0,0,2387.315,2387.315,CO_to_UT,35526,746453,0.0466,2387,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z8,8,0,0,1,0,0,0,0,0,0,0,-1,4402.074,4402.074,CO_to_WY,13641,286623,0.0449,4402,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z9,9,0,0,0,1,-1,0,0,0,0,0,0,2942.2615,2942.2615,ID_to_MT,36251,761687,0.0484,2942,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z10,10,0,0,0,1,0,0,-1,0,0,0,0,500,500,ID_to_NV,37969,797774,0.0569,500,1000000,60,0.044,0.95,0,0.95,0,0.95,0
z11,11,0,0,0,1,0,0,0,-1,0,0,0,7137.6325,7137.6325,ID_to_OR,33383,701412,0.0376,7138,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,12,0,0,0,1,0,0,0,0,-1,0,0,1687.1795,1687.1795,ID_to_UT,27679,581563,0.0308,1687,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,13,0,0,0,1,0,0,0,0,0,-1,0,4162.5205,4162.5205,ID_to_WA,35116,737826,0.041,4163,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,14,0,0,0,1,0,0,0,0,0,0,-1,2306.3765,2306.3765,ID_to_WY,42317,889136,0.0664,2306,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,15,0,0,0,0,1,0,0,0,0,-1,0,1905.3,1905.3,MT_to_WA,58148,1221757,0.091,1905,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,16,0,0,0,0,1,0,0,0,0,0,-1,733.1595,733.1595,MT_to_WY,30867,648545,0.0388,733,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,17,0,0,0,0,0,1,0,0,-1,0,0,657.1785,657.1785,NM_to_UT,37701,792141,0.0513,657,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,18,0,0,0,0,0,0,1,0,-1,0,0,698.2615,698.2615,NV_to_UT,30671,644439,0.0354,698,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,19,0,0,0,0,0,0,0,1,0,-1,0,21279.086,21279.086,OR_to_WA,26471,556194,0.019,21279,1000000,60,0.044,0.95,0,0.95,0,0.95,0
,20,0,0,0,0,0,0,0,0,1,0,-1,919.231,919.231,UT_to_WY,32854,690307,0.0411,919,1000000,60,0.044,0.95,0,0.95,0,0.95,0